pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,sequesntial RT,randomRT,,,,,,,,,,sequesntial RT,randomRT
-50,x,0,0,0,0,5,0,20,0,,,,,69.31844166701194,70.30609116703272,70.30609116703272,70.30609116703272,70.30609116703272,70.31569408404175,71.31074212503154,71.31074212503154,,x,1,0.27564249897841364,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.27564249897841364,0.7362220399081707,,,,,,,,,,0.27564249897841364,0.7362220399081707
150,v,0,0,0,0,5,1,21,1,,,,,71.60306016704999,72.65584845899139,72.65584845899139,72.65584845899139,72.65584845899139,72.65584845899139,73.59443883399945,73.59443883399945,,v,1,0.3906657069455832,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3906657069455832,0.6050891230115667,,,,,,,,,,0.3906657069455832,0.6050891230115667
50,c,0,0,0,0,5,2,22,2,,,,,74.00195508403704,74.98899175005499,74.98899175005499,74.98899175005499,74.98899175005499,74.99809491704218,75.99405762495007,75.99405762495007,,c,1,0.338333749,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.338333749,0.7166417900007218,,,,,,,,,,0.338333749,0.7166417900007218
-150,z,0,0,0,0,5,3,23,3,,,,,76.34422617,77.34497924998868,77.34497924998868,77.34497924998868,77.34497924998868,77.36142954195384,78.33660562499426,78.33660562499426,,z,1,0.5294424990424886,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.5294424990424886,0.675696415,,,,,,,,,,0.5294424990424886,0.675696415
-50,x,0,0,0,0,6,0,24,0,,,,,78.87761320895515,79.87836608395446,79.87836608395446,79.87836608395446,79.87836608395446,79.89486574998591,80.86084820900578,80.86084820900578,,x,1,0.30479649896733463,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.30479649896733463,0.4620521659962833,,,,,,,,,,0.30479649896733463,0.4620521659962833
150,v,0,0,0,0,6,1,25,1,,,,,81.17752533406019,82.17822250002064,82.17822250002064,82.17822250002064,82.17822250002064,82.19536020897795,83.16895645903423,83.16895645903423,,v,1,0.6068079149117693,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.6068079149117693,0.4352162069408223,,,,,,,,,,0.6068079149117693,0.4352162069408223
50,c,0,0,0,0,6,2,26,2,,,,,83.78397646,84.77367788,84.77367788,84.77367788,84.77367788,84.78273283399176,85.77756279194728,85.77756279194728,,c,1,0.5119709990685806,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.5119709990685806,0.5678904990199953,,,,,,,,,,0.5119709990685806,0.5678904990199953
-150,z,0,0,0,0,6,3,27,3,,,,,86.30238616699353,87.29039379197638,87.29039379197638,87.29039379197638,87.29039379197638,87.29925329203252,88.28668520902283,88.28668520902283,,z,1,0.38381287397351116,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.38381287397351116,0.3026060409611091,,,,,,,,,,0.38381287397351116,0.3026060409611091
-50,x,0,0,0,0,7,0,28,0,,,,,88.68558795901481,89.67314204201102,89.67314204201102,89.67314204201102,89.67314204201102,89.68252320901956,90.67760341695976,90.67760341695976,,x,1,0.35216787306126207,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.35216787306126207,0.40502841502893716,,,,,,,,,,0.35216787306126207,0.40502841502893716
150,v,0,0,0,0,7,1,29,1,,,,,91.04446045903023,92.02914383402094,92.02914383402094,92.02914383402094,92.02914383402094,92.03906458395068,93.03622166696005,93.03622166696005,,v,1,0.3763136229244992,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3763136229244992,0.7685219990089536,,,,,,,,,,0.3763136229244992,0.7685219990089536
50,c,0,0,0,0,7,2,30,2,,,,,93.42761916702148,94.42210375,94.42210375,94.42210375,94.42210375,94.42210375,95.41118825005833,95.41118825005833,,c,1,0.8867412069812417,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.8867412069812417,0.7972699148813263,,,,,,,,,,0.8867412069812417,0.7972699148813263
-150,z,0,0,0,0,7,3,31,3,,,,,96.31127199996263,97.29497791698668,97.29497791698668,97.29497791698668,97.29497791698668,97.30394912499469,98.29445033404045,98.29445033404045,,z,1,0.4422155409120023,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4422155409120023,0.30534133198671043,,,,,,,,,,0.4422155409120023,0.30534133198671043
-50,x,0,0,0,0,8,0,32,0,,,,,98.75261725,99.74059075000696,99.74059075000696,99.74059075000696,99.74059075000696,99.74930954200681,100.74441804201342,100.74441804201342,,x,1,0.22234070696868002,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.22234070696868002,0.6220805819611996,,,,,,,,,,0.22234070696868002,0.6220805819611996
150,v,0,0,0,0,8,1,33,1,,,,,100.97770158399362,101.97185666696168,101.97185666696168,101.97185666696168,101.97185666696168,101.97185666696168,102.96109395904932,102.96109395904932,,v,1,0.4408993739634752,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4408993739634752,0.6958679570816457,,,,,,,,,,0.4408993739634752,0.6958679570816457
50,c,0,0,0,0,8,2,34,2,,,,,103.41904966696166,104.40578229201492,104.40578229201492,104.40578229201492,104.40578229201492,104.41574191697873,105.41167062497698,105.41167062497698,,c,1,0.7406669149640948,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.7406669149640948,0.4871887069894001,,,,,,,,,,0.7406669149640948,0.4871887069894001
-150,z,0,0,0,0,8,3,35,3,,,,,106.16896475001704,107.15710429195315,107.15710429195315,107.15710429195315,107.15710429195315,107.1659936249489,108.15366420894861,108.15366420894861,,z,1,0.45370712399017066,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.45370712399017066,0.325665332,,,,,,,,,,0.45370712399017066,0.325665332
-50,x,0,0,0,0,9,0,36,0,,,,,108.61902450001799,109.6069256250048,109.6069256250048,109.6069256250048,109.6069256250048,109.61594733397942,110.60313408402726,110.60313408402726,,x,1,0.27977266593370587,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.27977266593370587,0.4325057070236653,,,,,,,,,,0.27977266593370587,0.4325057070236653
